id,topic,likes,comments
695707917166339_1020121348058326,1,0,1
695707917166339_1020492998021161,1,0,3
695707917166339_1020571818013279,1,25,0
695707917166339_1020715534665574,1,0,1
695707917166339_1020121334724994,1,1,5
695707917166339_1020145441389250,1,3,3
695707917166339_1020729634664164,1,5,1
695707917166339_1020060824731045,1,1,1
695707917166339_1020658081337986,1,6,0
695707917166339_1020571698013291,1,4,1
695707917166339_1020658724671255,1,1,1
695707917166339_1020715604665567,1,0,1
695707917166339_1020060561397738,1,3,4
695707917166339_1019958138074647,1,0,3
695707917166339_1020035821400212,1,1,0
695707917166339_1020036574733470,1,1,1
695707917166339_1019900361413758,1,9,3
695707917166339_1019366124800515,1,10,1
695707917166339_1019334708136990,1,5,1
695707917166339_1019094914827636,1,7,2
695707917166339_1019334658136995,1,2,2
695707917166339_1019019848168476,1,1,3
695707917166339_1019150751488719,1,2,1
695707917166339_1019334774803650,1,1,5
695707917166339_1019021941501600,1,5,2
695707917166339_1018528578217603,1,0,3
695707917166339_1018758314861296,1,9,5
695707917166339_1018697821534012,1,2,4
695707917166339_1018697708200690,1,2,1
695707917166339_1018697381534056,1,6,1
695707917166339_1017927591611035,1,4,2
695707917166339_1017741044963023,1,1,0
695707917166339_1017927344944393,1,11,2
695707917166339_1017651054972022,1,0,5
695707917166339_1017682798302181,1,0,2
695707917166339_1017741041629690,1,2,4
695707917166339_1017891241614670,1,13,3
695707917166339_1017893064947821,1,25,3
695707917166339_1017611678309293,1,1,2
695707917166339_1017201441683650,1,2,4
695707917166339_1017093198361141,1,1,2
695707917166339_1017201101683684,1,0,2
695707917166339_1017447668325694,1,16,14
695707917166339_1017093275027800,1,10,9
695707917166339_1017001848370276,1,25,5
695707917166339_1016833901720404,1,8,2
695707917166339_1016417401762054,1,17,10
695707917166339_1016089035128224,1,2,2
695707917166339_1016310391772755,1,2,11
695707917166339_1016089078461553,1,25,3
695707917166339_1016214261782368,1,1,1
695707917166339_1016214205115707,1,0,8
695707917166339_1016089588461502,1,1,10
